Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-6.0181E-09,-0.00020272,-0.049686,0,0,0,5.1826,0.017409,-4.2452E-08,-3.8584E-09,0.071761,9.041E-08,0.080947,0,0,0,0,0,0,package://xjqr/meshes/base_link.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://xjqr/meshes/base_link.STL,,BODY-1,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,4.5404E-09,0.0018192,0.058353,0,0,0,0.60498,0.0009238,-2.061E-10,-5.2183E-12,0.00089151,-2.2822E-05,0.00050933,0,0,0,0,0,0,package://xjqr/meshes/FL_hip.STL,0.8549,0.8549,0.8549,1,0,0,0,0,0,0,package://xjqr/meshes/FL_hip.STL,,JOINT1-5,FL_hip,FL_hip_joint,FL_hip_joint,revolute,0.125,0.074746,-0.05,0,1.5708,0,base_link,0,0,1,20,50,-0.7854,0.7854,,,,,,,,
FL_thigh,0.056418,-1.2375E-10,0.014918,0,0,0,0.16961,3.6918E-05,-2.3505E-13,-7.7144E-07,0.00070535,-3.2904E-13,0.00072058,0,0,0,0,0,0,package://xjqr/meshes/FL_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://xjqr/meshes/FL_thigh.STL,,LEG1-6,FL_thigh,FL_thigh_joint,FL_thigh_joint,revolute,0,0.0425,0.08,-1.5708,0,0,FL_hip,0,0,1,20,50,-0.7854,0.7854,,,,,,,,
FL_knee,-0.0088308,3.4934E-08,-0.022462,0,0,0,0.045819,1.3807E-05,-1.4752E-11,-2.8332E-06,1.3348E-05,-7.8263E-13,9.1158E-06,0,0,0,0,0,0,package://xjqr/meshes/FL_knee.STL,1,1,1,1,0,0,0,0,0,0,package://xjqr/meshes/FL_knee.STL,,JOINT2_2-3,FL_knee,FL_knee_joint,FL_knee_joint,revolute,0.165,0,0.015,0,-1.5708,0,FL_thigh,0,0,1,10,50,-0.7854,0.7854,,,,,,,,
FL_calf,0.10031,-7.3829E-10,0.0055399,0,0,0,0.1441,2.4729E-05,-6.5251E-12,6.2381E-05,0.0008421,-1.7554E-13,0.00084108,0,0,0,0,0,0,package://xjqr/meshes/FL_calf.STL,1,1,1,1,0,0,0,0,0,0,package://xjqr/meshes/FL_calf.STL,,LEG2_3-2,FL_calf,FL_calf_joint,FL_calf_joint,revolute,0,0,-0.03,0,1.5708,0,FL_knee,0,0,1,10,50,-0.7854,0.7854,,,,,,,,
FL_foot,-1.3878E-16,-2.7756E-17,-0.010516,0,0,0,0.005546,1.0234E-06,5.9353E-21,4.9318E-21,1.0234E-06,1.6831E-21,1.6367E-06,0,0,0,0,0,0,package://xjqr/meshes/FL_foot.STL,1,1,1,1,0,0,0,0,0,0,package://xjqr/meshes/FL_foot.STL,,FOOT-4,FL_foot,FL_foot_joint,FL_foot_joint,fixed,0.2,0,0,0,-1.5708,0,FL_calf,0,0,0,,,,,,,,,,,,
RL_hip,-4.5404E-09,0.0018192,-0.058353,0,0,0,0.60498,0.0009238,2.061E-10,-5.2183E-12,0.00089151,2.2822E-05,0.00050933,0,0,0,0,0,0,package://xjqr/meshes/RL_hip.STL,0.8549,0.8549,0.8549,1,0,0,0,0,0,0,package://xjqr/meshes/RL_hip.STL,,JOINT1-3,RL_hip,RL_hip_joint,RL_hip_joint,revolute,-0.125,0.074746,-0.05,0,1.5708,0,base_link,0,0,1,20,50,-0.7854,0.7854,,,,,,,,
RL_thigh,0.056418,-7.5059E-11,0.014918,0,0,0,0.16961,3.6918E-05,-7.2049E-13,-7.7144E-07,0.00070535,-3.4994E-13,0.00072058,0,0,0,0,0,0,package://xjqr/meshes/RL_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://xjqr/meshes/RL_thigh.STL,,LEG1-3,RL_thigh,RL_thigh_joint,RL_thigh_joint,revolute,0,0.0425,-0.08,-1.5708,0,0,RL_hip,0,0,1,20,50,-0.7854,0.7854,,,,,,,,
RL_knee,-0.0088308,3.4934E-08,-0.022462,0,0,0,0.045819,1.3807E-05,-1.4752E-11,-2.8332E-06,1.3348E-05,-7.8263E-13,9.1158E-06,0,0,0,0,0,0,package://xjqr/meshes/RL_knee.STL,1,1,1,1,0,0,0,0,0,0,package://xjqr/meshes/RL_knee.STL,,JOINT2_2-4,RL_knee,RL_knee_joint,RL_knee_joint,revolute,0.165,0,0.015,0,-1.5708,0,RL_thigh,0,0,1,10,50,-0.7854,0.7854,,,,,,,,
RL_calf,0.10031,-7.3829E-10,0.0055399,0,0,0,0.1441,2.4729E-05,-6.5251E-12,6.2381E-05,0.0008421,-1.7554E-13,0.00084108,0,0,0,0,0,0,package://xjqr/meshes/RL_calf.STL,1,1,1,1,0,0,0,0,0,0,package://xjqr/meshes/RL_calf.STL,,LEG2_3-3,RL_calf,RL_calf_joint,RL_calf_joint,revolute,0,0,-0.03,0,1.5708,0,RL_knee,0,0,1,10,50,-0.7854,0.7854,,,,,,,,
RL_foot,5.5511E-17,0,-0.010516,0,0,0,0.005546,1.0234E-06,-3.8682E-21,-2.5419E-21,1.0234E-06,6.1884E-22,1.6367E-06,0,0,0,0,0,0,package://xjqr/meshes/RL_foot.STL,1,1,1,1,0,0,0,0,0,0,package://xjqr/meshes/RL_foot.STL,,FOOT-1,RL_foot,RL_foot_joint,RL_foot_joint,fixed,0.2,0,0,0,-1.5708,0,RL_calf,0,0,0,,,,,,,,,,,,
FR_hip,-4.5404E-09,-0.0018192,0.058353,0,0,0,0.60498,0.0009238,-2.061E-10,5.2183E-12,0.00089151,2.2822E-05,0.00050933,0,0,0,0,0,0,package://xjqr/meshes/FR_hip.STL,0.8549,0.8549,0.8549,1,0,0,0,0,0,0,package://xjqr/meshes/FR_hip.STL,,JOINT1-4,FR_hip,FR_hip_joint,FR_hip_joint,revolute,0.125,-0.075254,-0.05,0,1.5708,0,base_link,0,0,1,20,50,-0.7854,0.7854,,,,,,,,
FR_thigh,0.056418,1.3742E-10,-0.014918,0,0,0,0.16961,3.6918E-05,8.8712E-14,7.7144E-07,0.00070535,-3.8194E-13,0.00072058,0,0,0,0,0,0,package://xjqr/meshes/FR_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://xjqr/meshes/FR_thigh.STL,,LEG1-7,FR_thigh,FR_thigh_joint,FR_thigh_joint,revolute,0,-0.0425,0.08,-1.5708,0,0,FR_hip,0,0,1,20,50,-0.7854,0.7854,,,,,,,,
FR_knee,0.0088308,-3.4934E-08,-0.022462,0,0,0,0.045819,1.3807E-05,-1.4752E-11,2.8332E-06,1.3348E-05,7.8263E-13,9.1158E-06,0,0,0,0,0,0,package://xjqr/meshes/FR_knee.STL,1,1,1,1,0,0,0,0,0,0,package://xjqr/meshes/FR_knee.STL,,JOINT2_2-2,FR_knee,FR_knee_joint,FR_knee_joint,revolute,0.165,0,-0.015,0,-1.5708,0,FR_thigh,0,0,1,10,50,-0.7854,0.7854,,,,,,,,
FR_calf,0.10031,7.3829E-10,-0.0055399,0,0,0,0.1441,2.4729E-05,6.5251E-12,-6.2381E-05,0.0008421,-1.7554E-13,0.00084108,0,0,0,0,0,0,package://xjqr/meshes/FR_calf.STL,1,1,1,1,0,0,0,0,0,0,package://xjqr/meshes/FR_calf.STL,,LEG2_3-1,FR_calf,FR_calf_joint,FR_calf_joint,revolute,0,0,-0.03,0,1.5708,0,FR_knee,0,0,1,10,50,-0.7854,0.7854,,,,,,,,
FR_foot,-1.1102E-16,8.3267E-17,-0.010516,0,0,0,0.005546,1.0234E-06,-2.7292E-21,4.4715E-21,1.0234E-06,-4.4646E-21,1.6367E-06,0,0,0,0,0,0,package://xjqr/meshes/FR_foot.STL,1,1,1,1,0,0,0,0,0,0,package://xjqr/meshes/FR_foot.STL,,FOOT-3,FR_foot,FR_foot_joint,FR_foot_joint,fixed,0.2,0,0,0,-1.5708,0,FR_calf,0,0,0,,,,,,,,,,,,
RR_hip,4.5404E-09,-0.0018192,-0.058353,0,0,0,0.60498,0.0009238,2.061E-10,5.2183E-12,0.00089151,-2.2822E-05,0.00050933,0,0,0,0,0,0,package://xjqr/meshes/RR_hip.STL,0.8549,0.8549,0.8549,1,0,0,0,0,0,0,package://xjqr/meshes/RR_hip.STL,,JOINT1-2,RR_hip,RR_hip_joint,RR_hip_joint,revolute,-0.125,-0.075254,-0.05,0,1.5708,0,base_link,0,0,1,20,50,-0.7854,0.7854,,,,,,,,
RR_thigh,0.056418,1.5837E-10,-0.014918,0,0,0,0.16961,3.6918E-05,-1.2208E-13,7.7144E-07,0.00070535,-3.335E-13,0.00072058,0,0,0,0,0,0,package://xjqr/meshes/RR_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://xjqr/meshes/RR_thigh.STL,,LEG1-5,RR_thigh,RR_thigh_joint,RR_thigh_joint,revolute,0,-0.0425,-0.08,-1.5708,0,0,RR_hip,0,0,1,20,50,-0.7854,0.7854,,,,,,,,
RR_knee,0.0088308,-3.4934E-08,-0.022462,0,0,0,0.045819,1.3807E-05,-1.4752E-11,2.8332E-06,1.3348E-05,7.8263E-13,9.1158E-06,0,0,0,0,0,0,package://xjqr/meshes/RR_knee.STL,1,1,1,1,0,0,0,0,0,0,package://xjqr/meshes/RR_knee.STL,,JOINT2_2-5,RR_knee,RR_knee_joint,RR_knee_joint,revolute,0.165,0,-0.015,0,-1.5708,0,RR_thigh,0,0,1,10,50,-0.7854,0.7854,,,,,,,,
RR_calf,0.10031,7.3829E-10,-0.0055399,0,0,0,0.1441,2.4729E-05,6.5251E-12,-6.2381E-05,0.0008421,-1.7554E-13,0.00084108,0,0,0,0,0,0,package://xjqr/meshes/RR_calf.STL,1,1,1,1,0,0,0,0,0,0,package://xjqr/meshes/RR_calf.STL,,LEG2_3-4,RR_calf,RR_calf_joint,RR_calf_joint,revolute,0,0,-0.03,0,1.5708,0,RR_knee,0,0,1,10,50,-0.7854,0.7854,,,,,,,,
RR_foot,-5.5511E-17,-1.1102E-16,-0.010516,0,0,0,0.005546,1.0234E-06,7.9305E-22,3.4276E-21,1.0234E-06,2.7106E-21,1.6367E-06,0,0,0,0,0,0,package://xjqr/meshes/RR_foot.STL,1,1,1,1,0,0,0,0,0,0,package://xjqr/meshes/RR_foot.STL,,FOOT-2,RR_foot,RR_foot_joint,RR_foot_joint,fixed,0.2,0,0,0,-1.5708,0,RR_calf,0,0,0,,,,,,,,,,,,
